Total CPU time,L1 D-cache hits,L1 D-cache misses,L2 Cache hits,L2 Cache misses,Block size
37.196, 87097260697, 400125128, 364914113, 37037040, 2
24.987, 61671787183, 9603005, 3201001, 9009013, 4
20.254, 52822921874, 12804007, 6402002, 5005006, 8
17.212, 50420514913, 9603006, 6402004, 3003006, 16
16.031, 48858950439, 35211014, 32010010, 2002005, 32
17.963, 48378468960, 166452055, 156849051, 8008009, 64
7.385, 19589626282, 44814017, 41613013, 2002005, MKN
